time (s),y_offset (mm),angle (deg)
0.000,-1.341,-0.353
0.008,-0.592,-0.156
0.017,0.148,0.039
0.025,0.871,0.229
0.033,1.619,0.425
0.042,2.417,0.635
0.050,3.160,0.830
0.058,3.928,1.032
0.067,4.744,1.247
0.075,5.545,1.457
0.083,6.378,1.677
0.092,7.206,1.894
0.100,8.075,2.123
0.108,8.934,2.349
0.117,9.821,2.582
0.125,10.727,2.822
0.133,11.631,3.060
0.142,12.609,3.318
0.150,13.549,3.567
0.158,14.479,3.813
0.167,15.375,4.051
0.175,16.237,4.279
0.183,17.091,4.507
0.192,17.993,4.746
0.200,18.896,4.986
0.208,19.833,5.235
0.217,20.818,5.498
0.225,21.833,5.767
0.234,22.825,6.032
0.242,23.747,6.280
0.250,24.652,6.521
0.259,25.497,6.748
0.267,26.224,6.943
0.275,26.948,7.137
0.284,27.674,7.331
0.292,28.400,7.525
0.300,29.025,7.696
0.309,29.745,7.889
0.317,30.425,8.073
0.325,31.137,8.264
0.334,31.892,8.467
0.342,32.628,8.666
0.350,33.365,8.868
0.359,34.097,9.065
0.367,34.784,9.253
0.375,35.416,9.426
0.384,36.027,9.594
0.392,36.655,9.768
0.400,37.311,9.948
0.409,37.918,10.116
0.417,38.508,10.277
0.425,39.021,10.420
0.434,39.429,10.532
0.442,39.819,10.641
0.450,40.153,10.732
0.459,40.460,10.815
0.467,40.806,10.910
0.475,41.134,11.001
0.484,41.535,11.111
0.492,41.886,11.208
0.500,42.191,11.293
0.509,42.463,11.371
0.517,42.691,11.436
0.525,42.925,11.502
0.534,43.119,11.555
0.542,43.313,11.610
0.550,43.530,11.671
0.559,43.664,11.710
0.567,43.795,11.749
0.575,43.911,11.783
0.584,43.926,11.788
0.592,43.959,11.796
0.600,43.837,11.765
0.609,43.714,11.731
0.617,43.494,11.671
0.625,43.287,11.609
0.634,42.969,11.520
0.642,42.638,11.426
0.651,42.358,11.346
0.659,42.052,11.260
0.667,41.797,11.190
0.676,41.655,11.149
0.684,41.467,11.097
0.692,41.315,11.054
0.701,41.150,11.006
0.709,40.902,10.937
0.717,40.726,10.888
0.726,40.512,10.824
0.734,40.273,10.762
0.742,40.060,10.704
0.751,39.828,10.641
0.759,39.512,10.554
0.767,39.168,10.460
0.776,38.752,10.347
0.784,38.312,10.224
0.792,37.875,10.101
0.801,37.361,9.960
0.809,36.884,9.829
0.817,36.352,9.686
0.826,35.872,9.552
0.834,35.305,9.398
0.842,34.713,9.237
0.851,34.234,9.106
